Year,Pais,CO2
1939,USA,12.445126
1940,CHN,0.165628
1940,IND,0.161561
1940,JPN,2.092294
1940,MEX,1.121233
1940,RUS,3.180732
1940,USA,13.84378
1941,CHN,0.20587
1941,IND,0.163443
1941,JPN,2.085527
1941,MEX,1.063462
1941,RUS,2.768751
1941,USA,14.940308
1942,CHN,0.216643
1942,IND,0.161335
1942,JPN,1.966713
1942,MEX,0.871126
1942,RUS,1.491837
1942,USA,15.890018
1943,CHN,0.184125
1943,IND,0.138953
1943,JPN,1.97671
1943,MEX,0.851386
1943,RUS,1.542721
1943,USA,16.222242
1944,CHN,0.184271
1944,IND,0.14044
1944,JPN,1.811009
1944,MEX,0.87028
1944,RUS,2.216761
1944,USA,17.245708
1945,CHN,0.094394
1945,IND,0.153885
1945,JPN,0.995211
1945,MEX,0.946431
1945,RUS,2.325214
1945,USA,16.460479
1946,CHN,0.058299
1946,IND,0.150068
1946,JPN,0.681684
1946,MEX,1.037369
1946,RUS,2.589077
1946,USA,15.534801
1947,CHN,0.062249
1947,IND,0.150886
1947,JPN,0.890648
1947,MEX,1.154792
1947,RUS,3.089073
1947,USA,16.839657
1948,CHN,0.04399
1948,IND,0.148922
1948,JPN,1.097951
1948,MEX,1.166446
1948,RUS,3.256864
1948,USA,17.183498
1949,CHN,0.108548
1949,IND,0.153496
1949,JPN,1.206323
1949,MEX,1.069346
1949,RUS,3.668335
1949,USA,13.987574
1950,CHN,0.141738
1950,IND,0.16263
1950,JPN,1.238388
1950,MEX,1.091702
1950,RUS,4.043561
1950,USA,15.969974
1951,CHN,0.178305
1951,IND,0.167701
1951,JPN,1.464226
1951,MEX,1.213544
1951,RUS,4.318977
1951,USA,16.240983
1952,CHN,0.219691
1952,IND,0.173703
1952,JPN,1.522385
1952,MEX,1.257594
1952,RUS,4.552394
1952,USA,15.590385
1953,CHN,0.225466
1953,IND,0.173979
1953,JPN,1.678022
1953,MEX,1.204717
1953,RUS,4.737456
1953,USA,15.707656
1954,CHN,0.266774
1954,IND,0.180158
1954,JPN,1.620055
1954,MEX,1.155506
1954,RUS,5.088462
1954,USA,14.71705
1955,CHN,0.311186
1955,IND,0.192514
1955,JPN,1.593779
1955,MEX,1.225989
1955,RUS,5.675606
1955,USA,15.848927
1956,CHN,0.347339
1956,IND,0.195905
1956,JPN,1.784762
1956,MEX,1.263202
1956,RUS,6.123846
1956,USA,16.326863
1957,CHN,0.405571
1957,IND,0.215798
1957,JPN,2.067713
1957,MEX,1.43241
1957,RUS,6.598648
1957,USA,15.911646
1958,CHN,0.819336
1958,IND,0.221419
1958,JPN,1.971755
1958,MEX,1.521869
1958,RUS,6.939951
1958,USA,15.15785
1959,CHN,1.107563
1959,IND,0.229962
1959,JPN,2.076049
1959,MEX,1.592018
1959,RUS,7.194141
1959,USA,15.360281
1960,CHN,1.179543
1960,IND,0.247456
1960,JPN,2.482008
1960,MEX,1.669286
1960,RUS,7.390059
1960,USA,15.465966
1961,CHN,0.821158
1961,IND,0.262341
1961,JPN,2.990524
1961,MEX,1.674278
1961,RUS,7.524673
1961,USA,15.178403
1962,CHN,0.644099
1962,IND,0.283058
1962,JPN,3.06796
1962,MEX,1.585862
1962,RUS,7.80378
1962,USA,15.5163
1963,CHN,0.627241
1963,IND,0.297921
1963,JPN,3.370047
1963,MEX,1.598866
1963,RUS,8.278065
1963,USA,15.985176
1964,CHN,0.615179
1964,IND,0.285749
1964,JPN,3.685508
1964,MEX,1.734823
1964,RUS,8.718095
1964,USA,16.477322
1965,CHN,0.655438
1965,IND,0.308384
1965,JPN,3.925678
1965,MEX,1.70356
1965,RUS,9.169555
1965,USA,16.963525
1966,CHN,0.702382
1966,IND,0.313155
1966,JPN,4.209457
1966,MEX,1.776023
1966,RUS,9.613915
1966,USA,17.628775
1967,CHN,0.56679
1967,IND,0.307033
1967,JPN,4.853181
1967,MEX,1.916806
1967,RUS,9.992403
1967,USA,18.112838
1968,CHN,0.596634
1968,IND,0.327936
1968,JPN,5.502258
1968,MEX,1.938537
1968,RUS,10.219567
1968,USA,18.601528
1969,CHN,0.714584
1969,IND,0.327106
1969,JPN,6.311504
1969,MEX,2.045774
1969,RUS,10.590774
1969,USA,19.365895
1970,CHN,0.930602
1970,IND,0.327736
1970,JPN,7.318883
1970,MEX,2.212892
1970,RUS,11.083682
1970,USA,20.645502
1971,CHN,1.029757
1971,IND,0.338464
1971,JPN,7.48442
1971,MEX,2.377537
1971,RUS,11.701269
1971,USA,20.584854
1972,CHN,1.068325
1972,IND,0.349843
1972,JPN,7.892221
1972,MEX,2.418707
1972,RUS,12.245674
1972,USA,21.374092
1973,CHN,1.085624
1973,IND,0.351993
1973,JPN,8.347247
1973,MEX,2.55791
1973,RUS,12.692512
1973,USA,22.132513
1974,CHN,1.084341
1974,IND,0.355004
1974,JPN,8.235292
1974,MEX,2.669563
1974,RUS,13.101614
1974,USA,21.154495
1975,CHN,1.23305
1975,IND,0.376364
1975,JPN,7.726076
1975,MEX,2.754083
1975,RUS,13.692726
1975,USA,20.087525
1976,CHN,1.263375
1976,IND,0.384342
1976,JPN,7.979885
1976,MEX,3.000781
1976,RUS,14.135874
1976,USA,20.838806
1977,CHN,1.361744
1977,IND,0.397444
1977,JPN,8.127275
1977,MEX,3.060859
1977,RUS,14.527966
1977,USA,21.221884
1978,CHN,1.496863
1978,IND,0.394725
1978,JPN,7.780456
1978,MEX,3.444721
1978,RUS,14.933264
1978,USA,21.680574
1979,CHN,1.508026
1979,IND,0.405018
1979,JPN,8.155193
1979,MEX,3.634395
1979,RUS,14.960112
1979,USA,21.52751
1980,CHN,1.458757
1980,IND,0.417887
1980,JPN,8.019813
1980,MEX,3.952384
1980,RUS,15.445527
1980,USA,20.55429
1981,CHN,1.422831
1981,IND,0.440829
1981,JPN,7.806064
1981,MEX,4.088825
1981,RUS,15.04851
1981,USA,19.558142
1982,CHN,1.527769
1982,IND,0.444912
1982,JPN,7.503112
1982,MEX,4.278277
1982,RUS,15.227292
1982,USA,18.398486
1983,CHN,1.588413
1983,IND,0.470541
1983,JPN,7.31484
1983,MEX,3.818874
1983,RUS,15.335597
1983,USA,18.370193
1984,CHN,1.703236
1984,IND,0.472066
1984,JPN,7.73232
1984,MEX,3.72232
1984,RUS,15.36231
1984,USA,18.75396
1985,CHN,1.814609
1985,IND,0.507509
1985,JPN,7.485892
1985,MEX,3.783889
1985,RUS,16.45023
1985,USA,18.645897
1986,CHN,1.87417
1986,IND,0.532217
1986,JPN,7.446491
1986,MEX,3.782981
1986,RUS,16.373085
1986,USA,18.486572
1987,CHN,1.963142
1987,IND,0.556184
1987,JPN,7.333313
1987,MEX,3.866091
1987,RUS,16.188814
1987,USA,19.101314
1988,CHN,2.063561
1988,IND,0.587832
1988,JPN,7.974002
1988,MEX,3.78578
1988,RUS,16.509676
1988,USA,19.749974
1989,CHN,2.060578
1989,IND,0.632842
1989,JPN,8.235475
1989,MEX,4.377317
1989,RUS,16.046345
1989,USA,19.813801
1990,CHN,2.056948
1990,IND,0.662661
1990,JPN,9.303974
1990,MEX,3.776877
1990,RUS,17.116922
1990,USA,20.340713
1991,CHN,2.127619
1991,IND,0.691265
1991,JPN,9.365771
1991,MEX,3.86062
1991,RUS,16.189478
1991,USA,19.953286
1992,CHN,2.198697
1992,IND,0.721673
1992,JPN,9.412995
1992,MEX,3.821764
1992,RUS,13.203428
1992,USA,20.16688
1993,CHN,2.326679
1993,IND,0.731198
1993,JPN,9.328417
1993,MEX,3.814581
1993,RUS,12.532247
1993,USA,20.357557
1994,CHN,2.447312
1994,IND,0.758382
1994,JPN,9.738498
1994,MEX,3.89911
1994,RUS,11.064444
1994,USA,20.504166
1995,CHN,2.631156
1995,IND,0.79087
1995,JPN,9.812275
1995,MEX,3.617562
1995,RUS,10.881474
1995,USA,20.511479
1996,CHN,2.723113
1996,IND,0.840982
1996,JPN,9.884934
1996,MEX,3.712048
1996,RUS,10.675248
1996,USA,20.969727
1997,CHN,2.705674
1997,IND,0.859156
1997,JPN,9.812299
1997,MEX,3.896426
1997,RUS,9.985495
1997,USA,20.991584
1998,CHN,2.56757
1998,IND,0.861161
1998,JPN,9.482731
1998,MEX,4.043026
1998,RUS,9.895137
1998,USA,20.899616
1999,CHN,2.542409
1999,IND,0.91678
1999,JPN,9.754609
1999,MEX,4.005913
1999,RUS,10.115236
1999,USA,20.931034
2000,CHN,2.595244
2000,IND,0.926036
2000,JPN,9.91848
2000,MEX,4.004716
2000,RUS,10.047828
2000,USA,21.291573
2001,CHN,2.63726
2001,IND,0.923283
2001,JPN,9.789146
2001,MEX,4.094777
2001,RUS,10.337314
2001,USA,20.731802
2002,CHN,2.893206
2002,IND,0.935547
2002,JPN,10.004089
2002,MEX,4.051411
2002,RUS,10.298339
2002,USA,20.685996
2003,CHN,3.385005
2003,IND,0.953121
2003,JPN,10.055148
2003,MEX,4.246734
2003,RUS,10.548228
2003,USA,20.675048
2004,CHN,3.874199
2004,IND,0.996141
2004,JPN,10.00649
2004,MEX,4.198983
2004,RUS,10.622315
2004,USA,20.891102
2005,CHN,4.336694
2005,IND,1.033244
2005,JPN,10.052961
2005,MEX,4.377088
2005,RUS,10.770197
2005,USA,20.786502
2006,CHN,4.765171
2006,IND,1.080684
2006,JPN,9.864499
2006,MEX,4.430692
2006,RUS,11.201392
2006,USA,20.321975
2007,CHN,5.097906
2007,IND,1.147655
2007,JPN,10.136849
2007,MEX,4.394819
2007,RUS,11.198217
2007,USA,20.386782
2008,CHN,5.448699
2008,IND,1.218132
2008,JPN,9.583936
2008,MEX,4.448673
